employee_id,date_of_joining,joining_month,gender,company_type,wfh_setup_available,designation,resource_allocation,mental_fatigue_score,burn_rate,risk
EMP000039,28-04-2008,April,Female,Service,Yes,3,7,6.6,0.56,Low Risk
EMP000040,30-10-2008,October,Female,Service,No,4,7,7.3,0.53,Low Risk
EMP000042,22-06-2008,June,Female,Product,Yes,1,3,5.4,0.33,Low Risk
EMP000043,18-02-2008,February,Male,Service,No,2,5,5,0.45,Low Risk
EMP000044,24-06-2008,June,Female,Service,Yes,2,3,6,0.36,Low Risk
EMP000045,08-12-2008,December,Female,Service,Yes,3,6,7.5,0.59,Low Risk
EMP000047,11-04-2008,April,Male,Service,No,4,10,10,0.94,High Risk
EMP000050,28-08-2008,August,Female,Product,Yes,1,3,6,0.37,Low Risk
EMP000051,21-03-2008,March,Male,Service,No,2,6,7.4,0.65,Low Risk
EMP000052,22-07-2008,July,Female,Service,Yes,2,5,6.4,0.49,Low Risk
EMP000054,23-01-2008,January,Male,Service,Yes,1,3,5.6,0.38,Low Risk
EMP000055,09-10-2008,October,Male,Product,No,2,5,7.4,0.62,Low Risk
EMP000056,10-09-2008,September,Female,Product,Yes,3,5,6.1,0.39,Low Risk
EMP000057,26-05-2008,May,Female,Product,Yes,2,4,3.1,0.15,Low Risk
EMP000058,22-12-2008,December,Male,Service,No,2,5,8,0.61,Low Risk
EMP000059,08-04-2008,April,Female,Product,No,1,2,4,0.26,Low Risk
EMP000060,22-12-2008,December,Female,Service,No,2,2,3.6,0.28,Low Risk
EMP000061,25-02-2008,February,Male,Product,Yes,2,5,8.7,0.71,High Risk
EMP000063,08-01-2008,January,Female,Service,No,3,5,6.8,0.57,Low Risk
EMP000064,20-11-2008,November,Female,Service,Yes,2,3,4.9,0.39,Low Risk
EMP000065,11-09-2008,September,Female,Product,No,3,6,7.9,0.61,Low Risk
EMP000066,11-06-2008,June,Male,Product,No,3,6,7.6,0.62,Low Risk
EMP000067,28-02-2008,February,Female,Service,No,5,9,9.2,0.8,High Risk
EMP000068,03-05-2008,May,Male,Service,Yes,4,6,6.5,0.63,Low Risk
EMP000069,20-08-2008,August,Female,Service,No,3,5,6.8,0.6,Low Risk
EMP000070,18-10-2008,October,Female,Product,No,4,8,8.7,0.79,High Risk
EMP000071,14-08-2008,August,Male,Service,Yes,2,5,6.2,0.39,Low Risk
EMP000072,08-01-2008,January,Female,Service,No,3,5,5.8,0.36,Low Risk
EMP000073,17-07-2008,July,Female,Product,No,2,4,6.6,0.5,Low Risk
EMP000074,11-09-2008,September,Male,Product,No,4,7,8.2,0.72,High Risk
EMP000075,05-07-2008,July,Female,Service,Yes,2,3,4.9,0.34,Low Risk
EMP000076,04-02-2008,February,Female,Service,No,1,2,4.1,0.27,Low Risk
EMP000077,01-08-2008,August,Male,Service,No,3,7,7.4,0.66,Low Risk
EMP000079,21-05-2008,May,Male,Service,Yes,1,2,4.4,0.27,Low Risk
EMP000080,26-11-2008,November,Female,Service,No,2,6,6.9,0.67,Low Risk
EMP000081,21-10-2008,October,Female,Product,Yes,1,2,5.3,0.38,Low Risk
EMP000082,19-03-2008,March,Female,Service,Yes,2,2,4.3,0.28,Low Risk
EMP000083,27-09-2008,September,Male,Product,Yes,0,1,0.8,0.05,Low Risk
EMP000084,28-03-2008,March,Female,Service,Yes,2,4,2.9,0.22,Low Risk
EMP000085,12-03-2008,March,Female,Service,Yes,1,3,5,0.39,Low Risk
EMP000086,20-05-2008,May,Male,Service,Yes,1,4,6.9,0.52,Low Risk
EMP000087,17-09-2008,September,Female,Service,No,3,5,4.7,0.39,Low Risk
EMP000088,13-02-2008,February,Female,Service,No,1,3,2,0.11,Low Risk
EMP000089,19-09-2008,September,Female,Service,No,2,4,5.4,0.44,Low Risk
EMP000090,03-07-2008,July,Male,Product,No,2,5,6.1,0.5,Low Risk
EMP000091,27-10-2008,October,Female,Product,Yes,1,4,5.1,0.41,Low Risk
EMP000094,15-04-2008,April,Female,Service,Yes,3,5,4.7,0.43,Low Risk
EMP000095,26-10-2008,October,Male,Service,Yes,3,5,5.4,0.46,Low Risk
EMP000096,31-01-2008,January,Female,Service,No,4,7,9.1,0.85,High Risk
EMP000097,03-01-2008,January,Male,Service,Yes,1,3,5,0.35,Low Risk
EMP000098,13-03-2008,March,Male,Product,No,1,1,0,0,Low Risk
EMP000099,27-03-2008,March,Male,Product,Yes,2,4,4.3,0.34,Low Risk
EMP000101,11-10-2008,October,Female,Product,No,2,5,5.7,0.55,Low Risk
EMP000102,15-11-2008,November,Male,Service,Yes,4,6,6.8,0.62,Low Risk
EMP000103,17-08-2008,August,Male,Service,No,3,6,7.6,0.72,High Risk
EMP000104,30-11-2008,November,Male,Product,Yes,3,8,8.3,0.71,High Risk
EMP000105,08-08-2008,August,Female,Product,No,1,3,5.5,0.39,Low Risk
EMP000106,28-06-2008,June,Female,Service,No,1,3,5.3,0.48,Low Risk
EMP000107,06-05-2008,May,Female,Service,No,3,7,8,0.7,High Risk
EMP000108,17-12-2008,December,Male,Service,Yes,4,6,6.4,0.56,Low Risk
EMP000109,08-09-2008,September,Female,Service,Yes,1,3,3.6,0.27,Low Risk
EMP000110,04-07-2008,July,Female,Product,Yes,2,5,7,0.66,Low Risk
EMP000111,28-10-2008,October,Female,Product,No,3,7,7.6,0.56,Low Risk
EMP000112,06-05-2008,May,Male,Service,No,2,5,8.7,0.79,High Risk
EMP000113,19-02-2008,February,Female,Product,Yes,0,1,2.6,0.18,Low Risk
EMP000114,08-04-2008,April,Female,Service,Yes,2,4,4.7,0.33,Low Risk
EMP000115,11-02-2008,February,Male,Service,Yes,2,4,6.4,0.4,Low Risk
EMP000116,02-03-2008,March,Female,Service,No,2,5,5.8,0.39,Low Risk
EMP000117,10-08-2008,August,Female,Service,No,1,1,3.3,0.23,Low Risk
EMP000118,04-01-2008,January,Female,Product,Yes,2,4,5.9,0.45,Low Risk
EMP000120,14-11-2008,November,Male,Product,Yes,1,3,7,0.52,Low Risk
EMP000121,02-09-2008,September,Female,Service,No,4,7,7.2,0.6,Low Risk
EMP000122,04-10-2008,October,Male,Service,Yes,3,7,7.9,0.59,Low Risk
EMP000124,16-09-2008,September,Female,Service,Yes,1,3,5.9,0.36,Low Risk
EMP000125,03-03-2008,March,Male,Service,No,1,3,4.4,0.29,Low Risk
EMP000126,21-02-2008,February,Male,Service,Yes,2,5,5.2,0.34,Low Risk
EMP000127,26-03-2008,March,Female,Product,Yes,2,4,5.3,0.34,Low Risk
EMP000131,17-09-2008,September,Female,Product,Yes,3,4,5.2,0.46,Low Risk
EMP000132,24-02-2008,February,Male,Service,Yes,2,5,4.5,0.36,Low Risk
EMP000133,09-12-2008,December,Female,Product,No,2,3,6.6,0.45,Low Risk
EMP000134,19-01-2008,January,Female,Product,Yes,3,5,3.8,0.27,Low Risk
EMP000135,26-01-2008,January,Male,Product,No,3,7,7.6,0.65,Low Risk
EMP000137,16-05-2008,May,Female,Product,Yes,3,6,5.6,0.34,Low Risk
EMP000138,10-08-2008,August,Female,Service,Yes,1,3,5.4,0.37,Low Risk
EMP000139,28-06-2008,June,Male,Product,Yes,1,2,4.9,0.25,Low Risk
EMP000140,07-05-2008,May,Male,Service,No,2,5,7.3,0.57,Low Risk
EMP000141,03-05-2008,May,Male,Service,No,2,5,5.6,0.52,Low Risk
EMP000143,16-10-2008,October,Female,Product,No,4,8,7.8,0.75,High Risk
EMP000144,09-07-2008,July,Female,Product,Yes,4,7,6.7,0.55,Low Risk
EMP000145,11-03-2008,March,Female,Service,No,1,4,6.5,0.43,Low Risk
EMP000146,15-08-2008,August,Female,Service,Yes,0,1,1.8,0.1,Low Risk
EMP000147,25-08-2008,August,Female,Product,No,3,6,8.1,0.68,Low Risk
EMP000149,26-04-2008,April,Male,Service,Yes,3,7,6.4,0.56,Low Risk
EMP000150,26-01-2008,January,Male,Service,Yes,3,8,7.2,0.73,High Risk
EMP000151,05-09-2008,September,Female,Service,No,2,5,8.6,0.7,High Risk
EMP000153,19-12-2008,December,Male,Product,No,4,8,9.5,0.88,High Risk
EMP000154,13-08-2008,August,Male,Product,Yes,2,6,6.8,0.63,Low Risk
EMP000155,08-03-2008,March,Female,Service,No,2,5,6.5,0.62,Low Risk
EMP000156,14-09-2008,September,Female,Service,Yes,2,3,3.5,0.25,Low Risk
EMP000157,24-04-2008,April,Male,Service,No,2,3,4.8,0.4,Low Risk
EMP000158,05-02-2008,February,Male,Product,No,3,8,7.6,0.77,High Risk
EMP000159,17-02-2008,February,Male,Product,Yes,3,6,6.2,0.58,Low Risk
EMP000160,11-09-2008,September,Female,Product,Yes,3,6,3.6,0.3,Low Risk
EMP000161,16-04-2008,April,Male,Product,No,3,6,8,0.61,Low Risk
EMP000162,24-10-2008,October,Female,Service,Yes,3,5,6,0.4,Low Risk
EMP000163,05-03-2008,March,Female,Service,Yes,1,3,3.8,0.33,Low Risk
EMP000164,03-04-2008,April,Female,Product,Yes,1,2,2.4,0.06,Low Risk
EMP000165,08-08-2008,August,Male,Service,Yes,1,4,4.3,0.36,Low Risk
EMP000166,18-09-2008,September,Female,Service,Yes,1,2,3.7,0.28,Low Risk
EMP000168,01-03-2008,March,Male,Product,Yes,2,5,5.6,0.37,Low Risk
EMP000169,23-05-2008,May,Female,Service,Yes,0,1,1,0.03,Low Risk
EMP000170,07-09-2008,September,Female,Product,Yes,2,5,7.2,0.67,Low Risk
EMP000171,23-03-2008,March,Male,Service,Yes,1,3,6.7,0.46,Low Risk
EMP000173,29-12-2008,December,Female,Service,Yes,3,8,7.5,0.72,High Risk
EMP000175,27-03-2008,March,Female,Service,No,4,7,7.5,0.65,Low Risk
EMP000176,24-02-2008,February,Female,Product,No,0,1,4,0.24,Low Risk
EMP000177,30-11-2008,November,Female,Service,Yes,1,3,5.3,0.41,Low Risk
EMP000178,03-10-2008,October,Female,Product,No,2,5,7.5,0.68,Low Risk
EMP000180,30-01-2008,January,Male,Product,No,4,7,7.7,0.72,High Risk
EMP000181,28-03-2008,March,Male,Service,Yes,0,2,4.4,0.33,Low Risk
EMP000184,13-10-2008,October,Male,Service,Yes,3,5,6.5,0.48,Low Risk
EMP000185,08-02-2008,February,Male,Product,Yes,2,4,5.5,0.48,Low Risk
EMP000186,25-11-2008,November,Male,Service,No,2,5,5,0.36,Low Risk
EMP000188,07-11-2008,November,Male,Product,No,4,10,9.2,0.91,High Risk
EMP000190,23-12-2008,December,Female,Product,Yes,1,2,4.1,0.24,Low Risk
EMP000191,24-11-2008,November,Female,Service,No,3,6,5.5,0.45,Low Risk
EMP000192,21-06-2008,June,Male,Service,No,5,9,8.8,0.85,High Risk
EMP000193,20-05-2008,May,Female,Service,No,2,4,5.5,0.34,Low Risk
EMP000194,29-11-2008,November,Male,Product,Yes,1,3,5.9,0.36,Low Risk
EMP000195,11-08-2008,August,Female,Service,Yes,2,4,4.5,0.34,Low Risk
EMP000196,29-04-2008,April,Male,Product,No,3,6,8,0.59,Low Risk
EMP000197,22-07-2008,July,Female,Service,Yes,2,4,5.8,0.44,Low Risk
EMP000198,19-11-2008,November,Male,Service,No,1,3,4.4,0.38,Low Risk
EMP000200,29-12-2008,December,Male,Product,No,3,6,7.5,0.59,Low Risk
EMP000201,20-06-2008,June,Female,Service,No,2,7,8,0.7,High Risk
EMP000202,31-08-2008,August,Male,Product,No,2,3,6.1,0.42,Low Risk
EMP000203,26-05-2008,May,Male,Product,Yes,1,2,5.1,0.46,Low Risk
EMP000205,14-02-2008,February,Female,Service,Yes,3,5,4.7,0.39,Low Risk
EMP000206,04-03-2008,March,Female,Service,Yes,3,5,5.2,0.42,Low Risk
EMP000207,06-10-2008,October,Male,Product,Yes,0,1,0,0,Low Risk
EMP000208,21-10-2008,October,Female,Service,Yes,2,5,5.1,0.46,Low Risk
EMP000209,16-08-2008,August,Male,Product,Yes,1,2,4.4,0.3,Low Risk
EMP000210,29-10-2008,October,Female,Product,No,4,6,6.9,0.63,Low Risk
EMP000211,15-07-2008,July,Female,Service,No,2,5,5.3,0.45,Low Risk
EMP000213,01-09-2008,September,Female,Service,Yes,3,6,6,0.58,Low Risk
EMP000214,06-01-2008,January,Male,Product,No,4,7,8.6,0.67,Low Risk
EMP000215,20-03-2008,March,Male,Service,No,2,5,7.3,0.71,High Risk
EMP000216,14-04-2008,April,Female,Service,Yes,1,3,5.5,0.48,Low Risk
EMP000217,21-05-2008,May,Male,Service,Yes,1,3,2.9,0.22,Low Risk
EMP000218,11-06-2008,June,Female,Product,No,3,6,5.1,0.43,Low Risk
EMP000220,16-02-2008,February,Male,Service,No,2,5,6.4,0.57,Low Risk
EMP000224,29-10-2008,October,Female,Service,Yes,3,4,6.1,0.47,Low Risk
EMP000225,11-06-2008,June,Female,Service,Yes,3,5,5.3,0.47,Low Risk
EMP000226,13-10-2008,October,Female,Product,Yes,1,4,5.5,0.34,Low Risk
EMP000227,10-10-2008,October,Female,Service,Yes,1,3,5.5,0.37,Low Risk
EMP000228,26-09-2008,September,Female,Service,No,3,7,7.8,0.8,High Risk
EMP000229,01-06-2008,June,Male,Product,No,4,8,8.9,0.8,High Risk
EMP000231,23-07-2008,July,Female,Service,Yes,1,4,6.9,0.49,Low Risk
EMP000233,09-08-2008,August,Male,Service,Yes,0,1,0,0,Low Risk
EMP000234,05-10-2008,October,Male,Service,Yes,4,9,9.3,0.86,High Risk
EMP000235,14-03-2008,March,Female,Service,Yes,1,2,4.6,0.33,Low Risk
EMP000237,14-06-2008,June,Female,Service,Yes,3,6,5.7,0.5,Low Risk
EMP000238,23-10-2008,October,Female,Service,Yes,2,4,4.5,0.34,Low Risk
EMP000239,22-02-2008,February,Male,Product,Yes,0,2,4.7,0.23,Low Risk
EMP000240,04-02-2008,February,Male,Product,No,4,8,9.9,0.92,High Risk
EMP000241,19-05-2008,May,Female,Service,Yes,3,6,6.3,0.44,Low Risk
EMP000242,20-09-2008,September,Female,Service,Yes,1,3,3.6,0.15,Low Risk
EMP000243,08-03-2008,March,Female,Service,Yes,0,2,4.3,0.32,Low Risk
EMP000244,01-08-2008,August,Female,Service,Yes,3,4,6.5,0.43,Low Risk
EMP000245,18-01-2008,January,Male,Service,No,4,9,8.7,0.78,High Risk
EMP000246,04-03-2008,March,Male,Service,Yes,0,1,3.1,0.23,Low Risk
EMP000247,13-07-2008,July,Male,Service,Yes,2,4,3.6,0.21,Low Risk
EMP000248,15-08-2008,August,Male,Service,Yes,1,2,3.6,0.23,Low Risk
EMP000249,04-11-2008,November,Female,Product,Yes,3,5,5.7,0.4,Low Risk
EMP000250,24-11-2008,November,Female,Service,Yes,2,5,5.7,0.38,Low Risk
EMP000251,16-04-2008,April,Female,Service,No,0,1,0.5,0,Low Risk
EMP000252,05-12-2008,December,Female,Product,No,2,4,3.9,0.33,Low Risk
EMP000254,07-12-2008,December,Female,Product,No,2,5,7,0.62,Low Risk
EMP000256,15-06-2008,June,Male,Service,Yes,3,4,5.4,0.36,Low Risk
EMP000257,04-06-2008,June,Female,Service,Yes,2,3,3.7,0.28,Low Risk
EMP000259,09-09-2008,September,Female,Service,Yes,2,4,6.1,0.41,Low Risk
EMP000260,05-02-2008,February,Male,Service,Yes,0,1,2.8,0.1,Low Risk
EMP000261,01-11-2008,November,Female,Service,No,2,4,6.9,0.63,Low Risk
EMP000262,28-01-2008,January,Male,Service,Yes,3,7,7.3,0.67,Low Risk
EMP000263,14-04-2008,April,Male,Service,No,3,7,7.2,0.62,Low Risk
EMP000264,04-04-2008,April,Male,Service,Yes,2,7,9,0.77,High Risk
EMP000265,06-07-2008,July,Female,Service,No,0,1,0,0,Low Risk
EMP000266,19-12-2008,December,Male,Product,Yes,2,6,5.6,0.51,Low Risk
EMP000267,28-12-2008,December,Female,Service,Yes,2,4,6.8,0.61,Low Risk
EMP000268,11-02-2008,February,Female,Service,Yes,1,3,5.1,0.41,Low Risk
EMP000269,08-07-2008,July,Female,Service,Yes,3,5,6,0.53,Low Risk
EMP000270,16-12-2008,December,Female,Service,Yes,1,3,6.8,0.5,Low Risk
EMP000271,17-11-2008,November,Male,Product,Yes,2,5,6.5,0.55,Low Risk
EMP000272,13-07-2008,July,Male,Service,Yes,4,6,5.7,0.49,Low Risk
EMP000274,19-10-2008,October,Male,Product,Yes,3,5,6.1,0.44,Low Risk
EMP000275,07-01-2008,January,Male,Service,Yes,3,7,8.8,0.7,High Risk
EMP000276,21-10-2008,October,Female,Service,Yes,1,2,6.8,0.48,Low Risk
EMP000279,19-01-2008,January,Male,Service,No,2,5,6.8,0.6,Low Risk
EMP000280,13-09-2008,September,Male,Product,Yes,2,4,5.5,0.48,Low Risk
EMP000281,28-10-2008,October,Female,Service,Yes,2,3,4.5,0.21,Low Risk
EMP000282,22-07-2008,July,Female,Product,No,2,2,2.6,0.15,Low Risk
EMP000283,14-10-2008,October,Male,Service,No,5,10,10,0.98,High Risk
EMP000284,08-11-2008,November,Female,Service,Yes,1,2,4.3,0.25,Low Risk
EMP000285,16-02-2008,February,Male,Product,No,3,8,8.8,0.7,High Risk
EMP000286,11-07-2008,July,Female,Service,No,4,7,7.2,0.69,Low Risk
EMP000287,02-09-2008,September,Male,Service,Yes,1,3,4.4,0.33,Low Risk
EMP000288,04-12-2008,December,Female,Service,No,2,4,5.5,0.44,Low Risk
EMP000289,26-12-2008,December,Female,Product,No,2,5,7.8,0.57,Low Risk
EMP000290,08-05-2008,May,Male,Product,Yes,1,3,4.5,0.27,Low Risk
EMP000291,12-08-2008,August,Male,Service,No,4,6,6.7,0.67,Low Risk
EMP000292,26-01-2008,January,Female,Service,No,1,1,3.4,0.25,Low Risk
EMP000293,24-08-2008,August,Female,Service,No,0,1,3.6,0.18,Low Risk
EMP000294,03-02-2008,February,Female,Product,No,3,7,7.9,0.6,Low Risk
EMP000295,30-09-2008,September,Female,Service,Yes,2,5,5.3,0.39,Low Risk
EMP000296,21-09-2008,September,Female,Service,Yes,1,3,5.3,0.34,Low Risk
EMP000297,10-11-2008,November,Female,Product,No,3,6,5.5,0.52,Low Risk
EMP000298,28-04-2008,April,Female,Product,No,1,3,5.4,0.42,Low Risk
EMP000299,25-12-2008,December,Male,Product,Yes,1,1,4.8,0.28,Low Risk
EMP000300,09-01-2008,January,Female,Product,Yes,2,4,6.2,0.38,Low Risk
EMP000301,18-05-2008,May,Male,Product,No,4,6,6.9,0.59,Low Risk
EMP000302,23-01-2008,January,Female,Product,Yes,2,5,8,0.62,Low Risk
EMP000303,14-09-2008,September,Male,Product,No,3,7,8.7,0.76,High Risk
EMP000304,09-08-2008,August,Female,Service,No,1,3,4.2,0.33,Low Risk
EMP000305,08-12-2008,December,Male,Service,No,2,2,4.2,0.28,Low Risk
EMP000306,25-01-2008,January,Female,Service,No,3,6,7.2,0.62,Low Risk
EMP000307,08-10-2008,October,Female,Service,Yes,2,4,5.2,0.45,Low Risk
EMP000308,14-09-2008,September,Male,Service,Yes,2,2,3.3,0.24,Low Risk
EMP000310,27-09-2008,September,Male,Service,No,2,5,6.3,0.53,Low Risk
EMP000311,03-05-2008,May,Male,Service,Yes,2,4,6.8,0.59,Low Risk
EMP000314,04-02-2008,February,Male,Product,Yes,3,5,3.8,0.29,Low Risk
EMP000315,12-05-2008,May,Female,Product,Yes,1,2,2.7,0.19,Low Risk
EMP000316,21-02-2008,February,Female,Service,No,4,7,8.1,0.65,Low Risk
EMP000317,09-12-2008,December,Female,Product,Yes,1,1,1.3,0.02,Low Risk
EMP000318,16-10-2008,October,Female,Service,Yes,2,4,7,0.47,Low Risk
EMP000320,26-10-2008,October,Female,Service,No,2,5,6.6,0.43,Low Risk
EMP000321,22-09-2008,September,Female,Service,No,2,5,7.9,0.61,Low Risk
EMP000322,06-08-2008,August,Female,Product,No,0,2,4.7,0.33,Low Risk
EMP000323,03-05-2008,May,Female,Service,No,2,4,7.9,0.6,Low Risk
EMP000324,03-03-2008,March,Female,Product,No,2,6,6.4,0.52,Low Risk
EMP000325,30-04-2008,April,Male,Service,Yes,5,9,9.3,0.93,High Risk
EMP000326,20-12-2008,December,Male,Product,No,2,4,6.3,0.47,Low Risk
EMP000328,02-03-2008,March,Male,Service,No,3,7,6.9,0.51,Low Risk
EMP000329,08-02-2008,February,Female,Service,Yes,1,1,4.9,0.26,Low Risk
EMP000330,13-04-2008,April,Female,Product,Yes,3,4,5.2,0.42,Low Risk
EMP000331,20-11-2008,November,Female,Service,No,2,5,6.2,0.58,Low Risk
EMP000332,19-11-2008,November,Female,Service,Yes,1,2,5.3,0.3,Low Risk
EMP000333,12-08-2008,August,Male,Product,Yes,3,6,6.2,0.56,Low Risk
EMP000334,12-04-2008,April,Male,Product,No,2,5,6.1,0.57,Low Risk
EMP000335,18-11-2008,November,Female,Service,Yes,2,3,5.5,0.3,Low Risk
EMP000336,21-04-2008,April,Male,Service,No,4,8,9.5,0.86,High Risk
EMP000337,11-08-2008,August,Male,Product,No,2,6,6.3,0.62,Low Risk
EMP000338,25-02-2008,February,Male,Service,Yes,3,5,5.2,0.41,Low Risk
EMP000339,22-06-2008,June,Male,Service,Yes,1,4,5.1,0.38,Low Risk
EMP000340,15-02-2008,February,Female,Service,Yes,2,5,5.9,0.41,Low Risk
EMP000341,22-07-2008,July,Female,Service,No,2,5,5.8,0.46,Low Risk
EMP000342,23-05-2008,May,Female,Service,No,2,4,5.9,0.44,Low Risk
EMP000343,15-08-2008,August,Female,Product,No,1,1,3.2,0.24,Low Risk
EMP000344,24-02-2008,February,Female,Service,Yes,2,4,6.1,0.39,Low Risk
EMP000346,14-02-2008,February,Female,Service,No,2,4,7.5,0.53,Low Risk
EMP000348,24-02-2008,February,Female,Service,No,2,2,3.9,0.21,Low Risk
EMP000349,13-10-2008,October,Male,Service,No,4,8,8.4,0.77,High Risk
EMP000350,22-12-2008,December,Female,Product,Yes,1,2,6,0.37,Low Risk
EMP000353,14-03-2008,March,Male,Service,Yes,1,3,4.9,0.38,Low Risk
EMP000354,07-06-2008,June,Male,Product,Yes,3,4,6.3,0.47,Low Risk
EMP000355,31-08-2008,August,Male,Service,No,4,8,8,0.69,Low Risk
EMP000356,16-11-2008,November,Male,Service,No,2,7,7.1,0.72,High Risk
EMP000357,26-06-2008,June,Male,Service,No,4,8,7.3,0.73,High Risk
EMP000358,11-05-2008,May,Female,Product,No,4,8,8.2,0.72,High Risk
EMP000359,03-09-2008,September,Female,Product,No,2,6,7.1,0.58,Low Risk
EMP000360,06-03-2008,March,Female,Service,Yes,2,5,4.5,0.38,Low Risk
EMP000361,23-03-2008,March,Female,Service,Yes,1,4,5,0.36,Low Risk
EMP000362,03-11-2008,November,Male,Service,No,2,5,4.2,0.32,Low Risk
EMP000363,27-02-2008,February,Male,Product,Yes,1,3,4.8,0.35,Low Risk
EMP000364,24-09-2008,September,Female,Service,Yes,4,8,9.4,0.83,High Risk
EMP000365,30-09-2008,September,Male,Service,Yes,4,7,7.9,0.73,High Risk
EMP000366,23-02-2008,February,Male,Product,Yes,0,2,2.1,0.15,Low Risk
EMP000367,26-10-2008,October,Male,Service,Yes,2,5,4.2,0.3,Low Risk
EMP000368,01-04-2008,April,Male,Service,No,1,3,6.6,0.47,Low Risk
EMP000369,17-06-2008,June,Female,Product,No,4,6,7.1,0.68,Low Risk
EMP000370,10-08-2008,August,Male,Product,No,5,10,9.7,0.87,High Risk
EMP000371,25-05-2008,May,Female,Product,Yes,1,2,5.5,0.4,Low Risk
EMP000372,22-05-2008,May,Female,Service,No,1,3,5.2,0.43,Low Risk
EMP000373,13-01-2008,January,Male,Product,No,4,7,8.4,0.64,Low Risk
EMP000374,06-08-2008,August,Male,Product,No,2,3,3.4,0.26,Low Risk
EMP000375,19-02-2008,February,Male,Service,No,2,4,7.2,0.59,Low Risk
EMP000376,13-09-2008,September,Male,Service,No,2,6,7,0.52,Low Risk
EMP000377,26-09-2008,September,Female,Service,No,2,5,7.3,0.56,Low Risk
EMP000378,06-06-2008,June,Male,Service,No,3,6,6.5,0.56,Low Risk
EMP000380,16-12-2008,December,Male,Service,No,1,4,5.8,0.53,Low Risk
EMP000381,16-01-2008,January,Male,Service,No,2,4,6.2,0.4,Low Risk
EMP000382,11-04-2008,April,Female,Service,No,2,4,4.2,0.31,Low Risk
EMP000384,24-02-2008,February,Male,Service,No,1,5,6.6,0.54,Low Risk
EMP000386,02-02-2008,February,Male,Product,No,2,6,7.5,0.55,Low Risk
EMP000387,06-07-2008,July,Male,Service,Yes,1,2,3.8,0.22,Low Risk
EMP000389,20-01-2008,January,Female,Product,Yes,3,5,5,0.4,Low Risk
EMP000390,02-09-2008,September,Male,Service,Yes,3,6,7.9,0.64,Low Risk
EMP000391,24-11-2008,November,Male,Service,Yes,3,5,6.5,0.48,Low Risk
EMP000392,07-10-2008,October,Female,Service,Yes,1,3,5.2,0.39,Low Risk
EMP000393,05-07-2008,July,Female,Service,Yes,3,5,5.6,0.4,Low Risk
EMP000394,04-04-2008,April,Female,Product,Yes,2,4,6.2,0.49,Low Risk
EMP000396,14-06-2008,June,Female,Service,No,2,2,3.9,0.29,Low Risk
EMP000397,03-06-2008,June,Male,Service,Yes,2,5,6.1,0.41,Low Risk
EMP000398,12-11-2008,November,Male,Service,Yes,2,5,5.5,0.37,Low Risk
EMP000399,26-08-2008,August,Male,Product,No,3,6,8.6,0.68,Low Risk
